,episode_id,episodenbr,title,views,share,appreciation,chart,summary,date,doctorid,rating,votes,description,season,has_9,has_10,has_11,has_12,has_13,day_Mon,day_Sat,day_Sun,day_Tue
98,8.02,802,Into the Dalek,7.29,30.4,84.0,9, ,2014-08-30,12,7.8,4995,The Doctor and Clara find themselves inside of a supposedly good Dalek.,8,0,0,0,1,0,0,1,0,0
99,8.03,803,Robot of Sherwood,7.28,31.1,82.0,10,No Summary Available,2014-09-06,12,7.1,5127,"In Sherwood Forest, the Doctor uncovers a sinister alien plot and forms an alliance with Robin Hood. With Nottingham at stake, the Doctor must decide who is real and who is fake.",8,0,0,0,1,0,0,1,0,0
100,8.04,804,Listen,7.01,29.6,82.0,7,No Summary Available,2014-09-13,12,8.9,6451,"When ghosts of past and future crowd into their lives, The Doctor and Clara are thrown into an adventure that takes them to the very end of the universe.",8,0,0,0,1,0,0,1,0,0
101,8.05,805,Time Heist,6.99,29.6,84.0,14,No Summary Available,2014-09-20,12,8.0,4573,The Doctor and Clara must break into the most secure bank in the universe.,8,0,0,0,1,0,0,1,0,0
102,8.06,806,The Caretaker,6.82,26.4,83.0,20,"The terrifying Skovox Blitzer is ready to destroy all humanity - but worse, and any second now, Danny Pink and the Doctor are going to meet.

When terrifying events threaten Coal Hill school, the Doctor decides to go undercover.",2014-09-27,12,7.4,4001,"The terrifying Skovox Blitzer is ready to destroy all humanity - but worse, and any second now, Danny Pink and the Doctor are going to meet.",8,0,0,0,1,0,0,1,0,0
103,8.07,807,Kill the Moon,6.91,26.6,82.0,20,No Summary Available,2014-10-04,12,7.0,4651,"In the near future, the Doctor and Clara find themselves on a space shuttle making a suicide mission to the Moon. Crash-landing on the lunar surface they find the most terrible things.",8,0,0,0,1,0,0,1,0,0
104,8.08,808,Mummy on the Orient Express,7.11,26.6,85.0,14,No Summary Available,2014-10-11,12,8.5,4470,"On the most beautiful train in history, speeding amongst the stars of the future, a deadly and immortal creature is stalking the passengers.",8,0,0,0,1,0,0,1,0,0
105,8.09,809,Flatline,6.71,25.5,85.0,23,No Summary Available,2014-10-18,12,8.5,4280,"A problem happens with the Tardis, trapping the Doctor inside and leaving Clara to fend for herself against a two dimensional enemy.",8,0,0,0,1,0,0,1,0,0
106,8.1,810,In the Forest of the Night,6.92,26.3,83.0,20,No Summary Available,2014-10-25,12,6.1,4181,"One morning in London, and every city and town in the world, the human race wakes up to the most surprising invasion yet: the trees have moved back in. Everywhere, in every land, a forest has grown and taken back the Earth.",8,0,0,0,1,0,0,1,0,0
107,8.11,811,Dark Water,7.34,27.4,85.0,15,"In the mysterious world of the Nethersphere, plans have been drawn up. Missy is about to come face to face with the Doctor, and an impossible choice is looming.“Death
 is not an end” promises the sinister organisation known only as 3W – 
but, as the Doctor and Clara discover, you might wish it was.",2014-11-01,12,8.7,4562,"In the mysterious world of the Nethersphere, plans have been drawn. Old friends and old enemies manoeuvre around the Doctor, and an impossible choice is looming over him.",8,0,0,0,1,0,0,1,0,0
108,8.12,812,Death in Heaven,7.60,28.6,83.0,14,"With Cybermen on the streets of London, old friends 
unite against old enemies and the Doctor takes to the air in a startling
 new role. Can the mighty UNIT contain Missy? As the Doctor faces his greatest challenge, sacrifices must be made before the day is won.",2014-11-08,12,7.9,4340,"With Cybermen on the streets of London, old friends unite against old enemies and the Doctor takes to the air in a startling new role. As the Doctor faces his greatest challenge, sacrifices must be made before the day is won.",8,0,0,0,1,0,0,1,0,0
